experiment,accuracy,macro_f1,weighted_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,accuracy_0,accuracy_1,accuracy_2,accuracy_3
FULL_RF_400_depth15_bal_sub,0.6826388888888889,0.6004008332311979,0.6670967938455015,0.6395759717314488,0.4738219895287958,0.544360902255639,0.7187570367034452,0.8704663212435233,0.7873704982733103,0.609984399375975,0.6015384615384616,0.6057319907048799,0.6337579617834395,0.36614535418583255,0.4641399416909621,0.87375,0.7605555555555555,0.8586111111111111,0.8723611111111111
FULL_RF_600_depth15_bal_sub,0.6820833333333334,0.5987133774677502,0.6664861170079984,0.6341176470588236,0.47033158813263526,0.5400801603206413,0.7208672086720868,0.8704663212435233,0.7886349598517604,0.6077519379844961,0.6030769230769231,0.6054054054054054,0.6265822784810127,0.36430542778288866,0.4607329842931937,0.8725,0.7623611111111112,0.8580555555555556,0.87125
FULL_RF_500_depth10_bal_sub,0.6625,0.5957007340415046,0.6596018299053373,0.5471698113207547,0.5314136125654451,0.5391766268260292,0.7679528403001071,0.7815653122443414,0.7746992836869847,0.5674576271186441,0.6438461538461538,0.6032432432432432,0.5204545454545455,0.42134314627414904,0.46568378240976105,0.8554166666666667,0.7684722222222222,0.8470833333333333,0.8540277777777778
FULL_RF_600_depth15_minsamplw2,0.6663888888888889,0.5954672753859299,0.6617692600677276,0.5819672131147541,0.4956369982547993,0.5353440150801131,0.7586471944657955,0.8074720479956368,0.7822985468956407,0.5823353293413174,0.5984615384615385,0.590288315629742,0.4984771573604061,0.45170193192272307,0.47393822393822393,0.8630555555555556,0.7711111111111111,0.85,0.8486111111111111
FULL_ET_400_depthNone_bal_sub,0.6851388888888889,0.594042112631495,0.6628236649611446,0.6858710562414266,0.4363001745200698,0.5333333333333333,0.6934913703472655,0.9094627761112626,0.7869277961302501,0.6439929328621908,0.5607692307692308,0.5995065789473685,0.6962264150943396,0.33946642134314625,0.45640074211502785,0.8784722222222222,0.7491666666666666,0.8647222222222222,0.8779166666666667
FULL_RF_600_depth10_w2,0.6634722222222222,0.5933565703273224,0.6584871303418188,0.5864197530864198,0.4973821989528796,0.5382436260623229,0.7515923566878981,0.8044723206981184,0.7771338250790305,0.5748324646314222,0.5938461538461538,0.58418463866818,0.5052083333333334,0.44618215271389144,0.4738641914997557,0.8641666666666666,0.765,0.8473611111111111,0.8504166666666667
FULL_ET_400_depthNone,0.68125,0.5897897595018446,0.6597577179532322,0.6785714285714286,0.43106457242582896,0.5272145144076841,0.6965676984628343,0.9020998091082629,0.7861216730038023,0.6317157712305026,0.5607692307692308,0.5941320293398533,0.6572934973637962,0.34406623735050595,0.45169082125603865,0.8769444444444444,0.75,0.8616666666666667,0.8738888888888889
FULL_ET_400_depthNonew2,0.6816666666666666,0.5897531932109996,0.6594334645121765,0.6831275720164609,0.43455497382198954,0.5312,0.6929659778751827,0.9053722388873738,0.7850555686923623,0.6393298059964727,0.5576923076923077,0.5957271980279375,0.6684981684981685,0.3357865685372585,0.4470300061236987,0.8779166666666667,0.7475,0.8633333333333333,0.8745833333333334
FULL_CatBoost_depth6_lr0.05,0.6768055555555555,0.5889921398599255,0.6602837831130337,0.6184364060676779,0.462478184991274,0.5292061907139292,0.7185615367433549,0.8772838832833378,0.7900294695481336,0.6021505376344086,0.56,0.5803108808290155,0.6057838660578386,0.36614535418583255,0.45642201834862384,0.8690277777777777,0.7625,0.85375,0.8683333333333333
FULL_XGB_depth6_lr005,0.6755555555555556,0.5868585361844909,0.6588803972826717,0.6168981481481481,0.4650959860383944,0.5303482587064676,0.7174009790832221,0.8791928006544859,0.7900992525425806,0.6105354058721935,0.5438461538461539,0.5752644426362896,0.5847953216374269,0.36798528058877644,0.45172219085262566,0.8688888888888889,0.7620833333333333,0.855,0.8651388888888889
FULL_LGBM_learn0.05_700,0.6705555555555556,0.581150781911811,0.654388486521725,0.5940023068050749,0.4493891797556719,0.5116741182314953,0.7179084380610413,0.8723752386146714,0.7876400344700234,0.6068376068376068,0.5461538461538461,0.5748987854251012,0.5714285714285714,0.3716651333946642,0.4503901895206243,0.8634722222222222,0.7604166666666666,0.8541666666666666,0.8630555555555556
FULL_HGB_lr0.05_depth6_iter600,0.6656944444444445,0.577383757838722,0.6510323066205509,0.5895691609977324,0.4537521815008726,0.5128205128205128,0.7216636197440585,0.8611944368693755,0.7852791247047122,0.5904920767306089,0.5446153846153846,0.5666266506602641,0.5477792732166891,0.37442502299908004,0.4448087431693989,0.8627777777777778,0.7601388888888889,0.8495833333333334,0.8588888888888889
FULL_ET_800_depthNone_bal_sub,0.6355555555555555,0.5742655663130255,0.6374840769852551,0.5052790346907994,0.5846422338568935,0.5420711974110033,0.7772938443670151,0.7300245432233433,0.7529180143439741,0.5171957671957672,0.6015384615384616,0.5561877667140825,0.4869281045751634,0.41122355105795766,0.4458852867830424,0.8427777777777777,0.7559722222222223,0.8266666666666667,0.8456944444444444
FULL_ET_800_depthNonew2,0.6475,0.5688451300174413,0.6378257679011311,0.6094276094276094,0.4738219895287958,0.5331369661266568,0.715167339188227,0.8216525770384511,0.7647208121827411,0.5719237435008665,0.5076923076923077,0.5378973105134475,0.4734607218683652,0.41030358785648574,0.43962543124691966,0.8679166666666667,0.7425,0.8425,0.8420833333333333
FULL_MLP_64x32_relu,0.6543055555555556,0.5655666796207962,0.6426395638994761,0.5550935550935551,0.46596858638743455,0.5066413662239089,0.7359078915807148,0.8366512135260431,0.7830525778458397,0.5503048780487805,0.5553846153846154,0.552833078101072,0.5112285336856011,0.3560257589696412,0.4197396963123644,0.8555555555555555,0.7638888888888888,0.8377777777777777,0.8513888888888889
FULL_KNN_pca9_K21_dist,0.6423611111111112,0.5330003872201662,0.6126217918560035,0.6776729559748428,0.3760907504363002,0.4837261503928171,0.6576250753465943,0.8925552222525225,0.7572882924571958,0.5530629853321829,0.4930769230769231,0.5213501423342822,0.6542056074766355,0.2575896964121435,0.3696369636963696,0.8722222222222222,0.7086111111111111,0.8365277777777778,0.8673611111111111
FULL_KNN_pca5_K11_dist,0.6369444444444444,0.5315914637429464,0.6115753492292303,0.6206896551724138,0.39267015706806285,0.48102618920363444,0.6696072253728208,0.869375511317153,0.7565258661604176,0.5447019867549668,0.5061538461538462,0.5247208931419458,0.5731225296442688,0.2667893284268629,0.36409290646578785,0.8651388888888889,0.715,0.8344444444444444,0.8593055555555555
