experiment,accuracy,macro_f1,weighted_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,accuracy_0,accuracy_1,accuracy_2,accuracy_3
INLIERS_RF_600_depth15_bal_sub,0.7907298512625389,0.7173523308635911,0.7832779775219794,0.7814992025518341,0.6086956521739131,0.6843575418994413,0.8217687074829932,0.9145972138098122,0.8657015909416654,0.7066532258064516,0.7249224405377456,0.7156712608473711,0.7397540983606558,0.5098870056497176,0.6036789297658863,0.9218263576617087,0.8379453476305777,0.9036665513663092,0.9180214458664822
INLIERS_ET_400_depthNone,0.7921134555517122,0.716049346121659,0.7814483810827194,0.8354203935599285,0.5801242236024845,0.6847507331378299,0.8006730520320994,0.9367050272562084,0.8633635729239358,0.7206349206349206,0.704239917269907,0.7123430962343096,0.8168674698795181,0.4788135593220339,0.603739982190561,0.9256312694569353,0.8306814251124178,0.9048772051193359,0.9230370114147354
INLIERS_RF_400_depth15_bal_sub,0.7893462469733656,0.7147774794041314,0.781763327155083,0.7726550079491256,0.6037267080745342,0.6778242677824268,0.8215451577801959,0.9145972138098122,0.8655775293780453,0.7057633973710818,0.7218200620475698,0.7137014314928425,0.7377049180327869,0.5084745762711864,0.6020066889632107,0.9200968523002422,0.837772397094431,0.9031476997578692,0.9176755447941889
INLIERS_CatBoost_depth6_lr0.05,0.7914216534071256,0.7144408355745173,0.7833683183700703,0.7702265372168284,0.591304347826087,0.6690091356289529,0.8234497698348227,0.9209569957601453,0.8694781987133667,0.7141393442622951,0.7207859358841778,0.7174472465259908,0.7313131313131314,0.5112994350282486,0.6018287614297589,0.9185402974749222,0.8420961604980975,0.9050501556554825,0.9171566931857489
INLIERS_ET_400_depthNonew2,0.7907298512625389,0.7132727937743706,0.7797354261041786,0.8297491039426523,0.5751552795031056,0.6793837123991195,0.7990196078431373,0.937916414294367,0.8629144608526051,0.7255113024757804,0.6970010341261634,0.7109704641350211,0.8066825775656324,0.4774011299435028,0.5998225377107365,0.9244206157039087,0.8298166724316846,0.9052231061916292,0.9219993081978554
INLIERS_XGB_depth6_lr005,0.7879626426841924,0.7129101427907565,0.7802338623708811,0.7693522906793049,0.6049689440993788,0.6773296244784422,0.8186976492839773,0.917625681405209,0.8653434242467514,0.7091675447839831,0.6959669079627715,0.7025052192066806,0.7334669338677354,0.5169491525423728,0.6064623032311516,0.9197509512279488,0.8369076444136977,0.9014181943964026,0.9178484953303355
INLIERS_ET_400_depthNone_bal_sub,0.7888273953649256,0.7108084896865454,0.7774847384106559,0.8373831775700935,0.5565217391304348,0.6686567164179105,0.7953786906290116,0.9382192610539067,0.8609142698346534,0.727076591154261,0.6970010341261634,0.7117212249208026,0.8023529411764706,0.481638418079096,0.6019417475728155,0.923209961950882,0.8268765133171913,0.9055690072639225,0.9219993081978554
INLIERS_LGBM_learn0.05_700,0.7860601867865791,0.7084195409708648,0.7774766961729834,0.7693522906793049,0.6049689440993788,0.6773296244784422,0.8145074946466809,0.9215626892792247,0.8647342995169082,0.7092274678111588,0.6835573940020683,0.6961558715113217,0.735966735966736,0.5,0.5954583683767872,0.9197509512279488,0.8353510895883777,0.900207540643376,0.9168107921134555
INLIERS_HGB_lr0.05_depth6_iter600,0.7801798685575926,0.7032739738556111,0.7723097753261391,0.7570532915360502,0.6,0.6694386694386695,0.8130563798219584,0.9127801332525742,0.8600370951633614,0.7015086206896551,0.6732161323681489,0.6870712401055409,0.7131630648330058,0.5127118644067796,0.5965488907148726,0.9175025942580421,0.8303355240401246,0.8974403320650294,0.915081286751989
INLIERS_RF_500_depth10_bal_sub,0.7644413697682463,0.6989804355184206,0.7649250559768014,0.6683107274969173,0.6732919254658385,0.6707920792079208,0.8595890410958904,0.836159903089037,0.8477126189745164,0.6419098143236074,0.750775594622544,0.6920877025738799,0.6226114649681529,0.5522598870056498,0.5853293413173652,0.9079903147699758,0.8284330681425113,0.8882739536492563,0.9041854029747493
INLIERS_RF_600_depth15_minsamplw2,0.7661708751297129,0.6936145580310888,0.7633711824212756,0.7089337175792507,0.6111801242236025,0.6564376250833889,0.8371821104940076,0.8673531193216233,0.8520005949724825,0.648444863336475,0.7114788004136504,0.6785009861932939,0.636963696369637,0.5451977401129944,0.5875190258751902,0.910930473884469,0.8279142165340713,0.8872362504323763,0.9062608094085092
INLIERS_MLP_64x32_relu,0.771705292286406,0.6885154483701017,0.7660773439968643,0.7007299270072993,0.5962732919254659,0.6442953020134228,0.8347505668934241,0.8918837068443368,0.862371888726208,0.6808721506442021,0.7104446742502585,0.6953441295546559,0.625,0.4943502824858757,0.5520504731861199,0.9083362158422691,0.8374264960221377,0.8958837772397095,0.901764095468696
INLIERS_RF_600_depth10_w2,0.7608094085091663,0.6880793966216168,0.7578782374684012,0.7025862068965517,0.6074534161490683,0.6515656229180546,0.831195335276968,0.8634161114476075,0.8469994058229352,0.6392823418319169,0.7001034126163392,0.6683119447186574,0.6398659966499163,0.53954802259887,0.5854406130268199,0.9095468695952957,0.821860947768938,0.8837772397094431,0.9064337599446558
INLIERS_ET_800_depthNonew2,0.7559667934970599,0.676817097880584,0.749041697447275,0.7659574468085106,0.5813664596273292,0.6610169491525424,0.8012048192771084,0.886129618413083,0.8415300546448088,0.6414708886618999,0.6494312306101344,0.645426515930113,0.6462962962962963,0.4929378531073446,0.5592948717948718,0.9169837426496023,0.8094085091663784,0.8806641300588032,0.9048772051193359
INLIERS_ET_800_depthNone_bal_sub,0.7317537184365271,0.6710865123593723,0.7373887079828336,0.6052631578947368,0.7142857142857143,0.6552706552706553,0.8763698630136987,0.774984857662023,0.8225650916104147,0.5703883495145631,0.7290589451913133,0.640036314117113,0.5798816568047337,0.5536723163841808,0.5664739884393064,0.8953649256312695,0.8090626080940851,0.862850224835697,0.8962296783120027
INLIERS_KNN_pca9_K11_dist,0.7326184711172604,0.6310725502281216,0.7167483859525199,0.7584905660377359,0.4993788819875776,0.6022471910112359,0.7577059120768065,0.9082374318594791,0.8261707988980717,0.6131465517241379,0.5884177869700103,0.6005277044854881,0.726775956284153,0.3757062146892655,0.49534450651769085,0.9081632653061225,0.7817364233829125,0.8690764441369768,0.9062608094085092
INLIERS_KNN_pca5_K11_dist,0.7326184711172604,0.6310725502281216,0.7167483859525199,0.7584905660377359,0.4993788819875776,0.6022471910112359,0.7577059120768065,0.9082374318594791,0.8261707988980717,0.6131465517241379,0.5884177869700103,0.6005277044854881,0.726775956284153,0.3757062146892655,0.49534450651769085,0.9081632653061225,0.7817364233829125,0.8690764441369768,0.9062608094085092
